"# name","aliases","max apparent mag","max mag date","claimed type","redshift","redshift kind","ra","dec","# of photometric obs.","URL"
"V705 Cas","V705 Cas","","","","","","","","273","https://sne.space/sne/V705 Cas/"
"V723 Cas","V723 Cas","","","","","","","","440","https://sne.space/sne/V723 Cas/"
"V732 Sgr","V732 Sgr","","","","","","","","45","https://sne.space/sne/V732 Sgr/"
"V745 Sco","V745 Sco","","","","","","","","635","https://sne.space/sne/V745 Sco/"
"V827 Her","V827 Her","","","","","","","","106","https://sne.space/sne/V827 Her/"
"V838 Her","V838 Her","","","","","","","","44","https://sne.space/sne/V838 Her/"
"V842 Cen","V842 Cen","","","","","","","","136","https://sne.space/sne/V842 Cen/"
"V849 Oph","V849 Oph","","","","","","","","97","https://sne.space/sne/V849 Oph/"
"V868 Cen","V868 Cen","","","","","","","","121","https://sne.space/sne/V868 Cen/"
"V888 Cen","V888 Cen","","","","","","","","151","https://sne.space/sne/V888 Cen/"
"V977 Sco","V977 Sco","","","","","","","","0","https://sne.space/sne/V977 Sco/"
"V992 Sco","V992 Sco","","","","","","","","155","https://sne.space/sne/V992 Sco/"
